Postcode,Plaatsnaam,Deelgemeente,Hoofdgemeente,Provincie
5660,Aublain,Ja,COUVIN,NAMEN
6880,Auby-Sur-Semois,Ja,BERTRIX,LUXEMBURG
7382,Audregnies,Ja,QUIÉVRAIN,HENEGOUWEN
7040,Aulnois,Ja,QUÉVY,HENEGOUWEN
6706,Autelbas,Ja,ARLON,LUXEMBURG
1367,Autre-Eglise,Ja,RAMILLIES,WAALS-BRABANT
7387,Autreppe,Ja,HONNELLES,HENEGOUWEN
5060,Auvelais,Ja,SAMBREVILLE,NAMEN
5580,Ave-Et-Auffe,Ja,ROCHEFORT,NAMEN
8630,Avekapelle,Ja,VEURNE,WEST-VLAANDEREN
8580,Avelgem,Neen,AVELGEM,WEST-VLAANDEREN
4260,Avennes,Ja,BRAIVES,LUIK
3271,Averbode,Ja,SCHERPENHEUVEL-ZICHEM,VLAAMS-BRABANT
4280,Avernas-Le-Bauduin,Ja,HANNUT,LUIK
4280,Avin,Ja,HANNUT,LUIK
4340,Awans,Neen,AWANS,LUIK
6870,Awenne,Ja,SAINT-HUBERT,LUXEMBURG
4400,Awirs,Ja,FLÉMALLE,LUIK
6900,Aye,Ja,MARCHE-EN-FAMENNE,LUXEMBURG
4630,Ayeneux,Ja,SOUMAGNE,LUIK
4920,Aywaille,Neen,AYWAILLE,LUIK
9890,Baaigem,Ja,GAVERE,OOST-VLAANDEREN
3128,Baal,Ja,TREMELO,VLAAMS-BRABANT
9310,Baardegem,Ja,AALST,OOST-VLAANDEREN
2387,Baarle-Hertog,Neen,BAARLE-HERTOG,ANTWERPEN
9200,Baasrode,Ja,DENDERMONDE,OOST-VLAANDEREN
9800,Bachte-Maria-Leerne,Ja,DEINZE,OOST-VLAANDEREN
4837,Baelen,Neen,BAELEN,LUIK
5550,Bagimont,Ja,VRESSE-SUR-SEMOIS,NAMEN
6464,Baileux,Ja,CHIMAY,HENEGOUWEN
6460,Bailièvre,Ja,CHIMAY,HENEGOUWEN
5555,Baillamont,Ja,BIÈVRE,NAMEN
7730,Bailleul,Ja,ESTAIMPUIS,HENEGOUWEN
5377,Baillonville,Ja,SOMME-LEUZE,NAMEN
7380,Baisieux,Ja,QUIÉVRAIN,HENEGOUWEN
1470,Baisy-Thy,Ja,GENAPPE,WAALS-BRABANT
5190,Balâtre,Ja,JEMEPPE-SUR-SAMBRE,NAMEN
9860,Balegem,Ja,OOSTERZELE,OOST-VLAANDEREN
2490,Balen,Neen,BALEN,ANTWERPEN
9420,Bambrugge,Ja,ERPE-MERE,OOST-VLAANDEREN
6951,Bande,Ja,NASSOGNE,LUXEMBURG
6500,Barbençon,Ja,BEAUMONT,HENEGOUWEN
4671,Barchon,Ja,BLÉGNY,LUIK
5570,Baronville,Ja,BEAURAING,NAMEN
7534,Barry,Ja,TOURNAI,HENEGOUWEN
5370,Barvaux-Condroz,Ja,HAVELANGE,NAMEN
6940,Barvaux-Sur-Ourthe,Ja,DURBUY,LUXEMBURG
